Jobtitle,Jobcompany,JobArea,JobSalary,Jobdescription,Education,English Level,Experience,Gender,Address
Australia- Business Intelligence Analysts,AP Global Services Pvt. ltd.,Bengaluru,"416,667-500,000",,Graduate,Fluent English,Min. 5 Years,Both,"Bengaluru, Bengaluru, Karnataka - 560001"
(UAE) Fusion HCM Techno-Functional,Salesman Corporation Private Limited Opc,Lucknow,"900,000-999,999",,Graduate,Fluent English,Min. 5 Years,Both,"Lucknow, Lucknow, Uttar Pradesh - 226001"
Saudi Arabia- Pilot,AP Global Services Pvt. ltd.,Bengaluru,"7,083,333-7,500,000",,Graduate,Fluent English,Min. 5 Years,Both,"Bengaluru, Bengaluru, Karnataka - 560001"
Germany-Principal Scientist Med Chemistry,AP Global Services Pvt. ltd.,Bengaluru,"458,333-541,667",,Graduate,Fluent English,Min. 10 Years,Both,"Bengaluru, Bengaluru, Karnataka - 560001"
Visa Counsellor,Unique World,Vesu,"20,000-400,000",,Graduate,Fluent English,Min. 1 Years,Both,"Parle Point, City Light Town, Athwa, Surat, Gujarat 395007, India, Vesu, Surat, Gujarat - 395003"
(Australia) Construction Project Manager,AP Global Services Pvt. ltd.,Bengaluru,"458,333-791,667",,Graduate,Fluent English,Min. 5 Years,Both,"Bengaluru, Bengaluru, Karnataka - 560001"
Hong Kong- Senior UI Software Engineer,AP Global Services Pvt. ltd.,Bengaluru,"291,667-375,000",,Graduate,Fluent English,Min. 5 Years,Both,"Bengaluru, Bengaluru, Karnataka - 560001"
